time,temp_2010,temp_2011,temp_2012,temp_2013,temp_2014,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019
1,4.6,1.9,7.5,4.9,4.1,-1.1,5.5,-1.9,6.1,5.5
2,-0.9,1.7,7,1.9,5.2,-0.3,5.1,-1.7,5.4,2.4
3,-3.4,-1,3.4,0.9,4.9,3.8,4,0.4,7.9,1.8
4,-2,-1.2,5.3,2.5,6,6.9,6.1,-0.9,8.8,1.6
5,-1.3,0.5,4.7,4.9,3.8,-0.3,6,0.7,10.6,-0.1
6,-0.8,6.7,1.9,4.5,2.6,-2.5,4.4,-3,8.3,2.9
7,-3.3,9,0.5,4.2,8.2,-1.3,5.4,-3.8,6.5,3.5
8,-0.6,11.3,4.2,1.9,8.5,2.2,5.6,0.2,5,2.7
9,-2.7,7.6,2.8,0.1,8.5,5.4,7.1,-0.7,5.6,1.5
10,-4.6,5.4,2.8,0.8,7.5,11.1,6.9,-1.5,3.7,1.1
11,-3.2,4.2,2.5,3.6,5.4,6.3,8,0.1,5.4,1
12,-2.5,5.2,1.5,1.5,3.8,1.3,5.7,3.8,4.8,2.3
13,-0.8,8.7,0.5,2.8,3.8,6,2.9,1.6,2.7,3.9
14,1.3,8.7,2.1,1.9,4.5,7.6,0.2,0,1.3,5.5
15,1.4,6.6,-0.7,-0.7,2,7.5,1.7,-2,4.2,0.9
16,1.9,2.5,-2.8,-2.9,4,5.3,0.8,-2,7.8,2.2
17,4.5,2.7,-3.3,-3.2,4,2.3,-1.1,-2.6,4.8,5.1
18,1.3,2.1,-1.6,-3.5,3.9,-0.9,-2.7,-3.2,5.2,1.1
19,-0.8,2.4,4.2,-1.7,3.8,0.8,-0.4,-3.1,6.2,-0.3
20,0.1,0.4,5.6,0.7,4.3,1.2,2.3,-3.2,3.9,0.8
21,0.5,0,5,0.5,4,2,2.3,-2.8,6.7,0.9
22,1.4,-1.7,7.4,1.7,3.8,2.4,2,-3,8.8,0.3
23,0.7,-2,5.1,-1.6,4.5,2,4.5,-2.7,7.1,-0.5
24,-0.1,-2.9,4.6,-0.9,2.7,1.6,2.5,-4.1,6,0.1
25,2.5,-0.3,4.3,-0.7,0.9,1.9,2.6,-3.9,10,-2.3
26,1.5,0.7,5.1,-2.4,4.9,0.9,3.3,-4,6,1.2
27,-2.3,0.8,5,-0.5,4.4,1.4,4.5,-2.6,6.2,4
28,-1.1,0.8,3,2.3,0.8,0.8,8.2,0.3,4.8,2
29,0.2,-0.5,2.1,2.5,0.1,3.9,8.7,1.9,3.5,1.2
30,0.3,-1,1.3,7.8,1.6,1.7,7.7,2.7,5.5,1.8
31,-3.7,-0.9,-0.5,6.6,0.8,0.5,9.2,5.2,7.1,1.1
32,-4.3,-0.9,-2.5,7.9,2.3,0.8,9.9,7.2,4.3,2.3
33,-0.6,-1.1,-5.5,4.7,3.8,0.1,8.3,4.1,2,1.4
34,3,-1.9,-8.1,1.9,4.2,-0.9,5.7,6.4,1.4,2.1
35,1.1,2.7,-8.8,2.9,4.2,-0.5,3.2,4.7,0.6,1
36,1.8,2.5,-9.2,5.4,3.2,-1.3,3.8,1,1.9,0.1
37,1.1,1.6,-8.3,1.3,4.9,-1,4.6,3,2,-0.6
38,3.1,1.9,-9.1,0.3,4.4,-1.8,5,2.8,1.3,1.7
39,1.8,2.4,-7.6,-0.9,4.3,0.2,7.1,3.7,2.5,3.3
40,0.4,1.7,-5.5,-1.3,5.1,1.4,8.1,2.9,2.6,8.6
41,-1.8,1.7,-6,-2.4,3.7,0,2.9,1.8,2.1,7.7
42,-4.6,4.6,-7.5,-0.8,4,-0.3,1.2,3.4,2.2,2.8
43,-3.7,3.3,-6.8,0.6,5.7,-0.6,1.3,3.7,1.4,1.7
44,-3,5.2,-5.7,-0.3,6.4,2.1,6.3,1.1,-1.4,1.8
45,-2.4,5.6,-2.3,-3.1,4.8,5.4,5.7,3.3,0.9,1.8
46,-2.2,4.8,0.5,1.9,7.2,4.7,2.8,3.6,4.1,2.8
47,-2.1,3.9,2.3,0.6,4.6,2.9,3.3,4.2,7.7,3.5
48,2.1,4.1,1.1,1.9,3.6,2.3,3.3,3.5,6.9,3.8
49,5.5,2.5,0.6,0.5,3.8,1.4,4.8,2,3.3,5.5
50,3.7,3.4,3.6,-0.6,5.8,2.3,3.8,3.6,3,4.6
51,1.7,5.4,1.2,1.4,6.5,4.7,3.4,4.9,3.4,4.3
52,4.9,5.1,-0.7,-0.4,6,3.1,10.1,8.5,1.1,4.7
53,8.5,3.6,-0.6,-2.2,5.3,2.1,8.9,10.1,0.1,7.6
54,7.5,1.5,0.8,-2.8,5.9,2.3,7.4,11.1,-0.3,6.9
55,6.7,2.9,3.5,-2,4.5,4.3,2.1,7.5,0.2,3.8
56,7.5,5.2,4.4,-2.2,6.3,3.8,5.5,4.1,-2.1,4.3
57,6.9,5.5,4.6,-2.4,4.9,2,3,5.7,-5.8,5.3
58,4.6,5.1,2.6,0.2,4.3,3.9,3.7,8.8,-6.8,6.3
59,8.7,4.6,3.5,0.6,4.3,3.2,4.4,7.5,-4.4,9.4
60,6,5.2,5.4,0.4,4.3,5.8,4.8,4.9,-1.7,8.4
61,7.3,2.1,5.9,1.7,5.4,9.4,5,7.2,-0.6,7
62,4.5,1.7,7.2,1.5,4.3,7.5,5.2,4.6,0.6,8.3
63,3.5,1.7,9,1.4,4.6,5.1,2.3,5.1,2.1,9.9
64,1.2,2.6,7.6,1.8,6.8,4.5,3,5.5,4.1,8.5
65,-0.5,3.3,4.9,5.2,6.6,5,3.7,5.2,4.2,6.2
66,-1.5,2.5,4.2,7,4.9,3.7,2.2,3.5,5.7,9.6
67,-1.4,5.8,4.7,6.6,7,5.2,1.3,3.5,6.7,9.1
68,-2.9,5.2,5.6,5.3,6.9,6.7,1.6,9.2,10.5,9.1
69,-1.2,8.3,5.2,6.3,7.2,6.7,1.7,9.3,8.6,12.1
70,-1.6,7.4,5.2,8.2,7.1,9,3.6,6.6,6.9,5
71,-0.7,6.8,8.6,7.8,7,6.4,4.6,7.5,8.6,5.9
72,1.1,9.3,9.7,2.5,7.7,4.7,4.8,8.6,6.8,6.1
73,2.5,10,9.6,0.1,8.5,5.6,5.9,8.5,5.7,4.7
74,4.3,8.7,8.3,-0.6,8.7,4.4,4.7,8.6,4.6,9.8
75,4.5,10.5,8.4,1.1,10.1,7.1,3.9,9.2,8,11.4
76,7,8.9,10.9,4.9,10.1,8,2.9,12.6,5.7,9.1
77,9.9,8.6,11.4,2.9,12.3,9,4.3,10.4,4.9,5.5
78,12.9,7.6,7,5.9,10.9,9.9,5.7,11.4,4,5.1
79,12.4,6.3,5,6.2,10.6,9,6.4,11.5,2.3,7.6
80,11.7,6.8,6.6,6.4,13.8,8.4,6.8,10.9,2.3,5.9
81,10.4,5.9,8.8,6.5,8.5,5.7,7.1,8.8,3.4,7.3
82,9.9,7.7,9.3,6.8,5.1,7.4,6.9,9.3,5.7,9.5
83,10.3,8.9,10.3,4.4,4,9.6,7.9,10.1,5.8,10.9
84,13.4,11.4,10.7,2.9,4.6,8.1,7.7,10.2,8.3,8.5
85,8.2,10.2,11.6,2.8,6.3,7,6.7,8.7,7,7.3
86,7,9.1,11,4,6.4,8.3,8.4,9.7,6.7,8.3
87,9,9.6,11.2,5.3,7.8,6.3,7.1,12.3,9.7,8.4
88,11.5,9.7,11,3.9,9.3,9.5,7.9,11.9,8.5,8.5
89,7.3,11,12.5,5.5,12.4,11.8,11.9,12.1,4.4,9.5
90,7.1,11.8,12.8,5,12.1,12.4,14,13.8,5.6,10.3
91,4.8,12,11.5,4,13,6.9,12.2,10.5,6,10.7
92,7.4,13.3,9.6,6.1,12.4,7.1,11.6,10.4,6.5,12.2
93,9.6,16.4,11.1,5.7,11.7,7.6,10.7,11.9,10.6,5.8
94,7.5,10.5,14,6.1,14,7.6,12.1,12.2,9.2,2.5
95,6.8,9.7,11.4,7.7,13.9,5.8,11.6,10.8,9.8,4.5
96,7.5,13.2,10.9,8.1,13.6,6.6,11.1,10.2,8.6,7.9
97,9.1,15.6,11.7,6.4,15.5,7.4,11.4,11.4,11.6,8.5
98,9.8,16.4,9.5,5.6,12.9,7.7,8.4,12.2,13.9,9.5
99,12.1,15.9,6.1,7.6,10.6,10.3,5.7,13.9,13.1,9.2
100,10.5,15.4,7,11.1,11.2,13,6.9,15.4,7.4,10.3
101,8.7,15,11.5,11.5,13,12.9,8.8,12.4,8.7,10.9
102,6.8,12.1,7.6,10.2,14.2,12.3,10.5,12.6,11.8,9.7
103,7,8.8,7.8,11.6,14,14.1,14,13.5,12.2,7.3
104,7.4,10,8.9,13,12.8,13.2,11,12.5,13.4,5.8
105,7.8,9.8,7.7,15.5,9.8,14.4,11.8,12.6,14.7,8.3
106,8.8,9.1,6.9,16.7,9,13.1,12.9,11.3,14.2,9.7
107,9.8,10.3,7.6,16.4,9,12.8,14.7,10,14.6,11.2
108,11.7,12.2,8.4,18.5,8.2,11,10.5,8.1,15.5,14.4
109,12.9,13.1,8.9,8.7,6.3,9.4,6,5.5,16.7,15.3
110,12.5,15.1,7.4,6.5,8.8,12.1,9,5.8,17.3,15.6
111,13.5,15,8.2,9.3,11.3,13,10.7,7.9,17.6,13.6
112,12.4,15.2,9.6,10.3,13.1,14.2,14.3,10.8,18.9,16.5
113,13.2,15.5,8.9,10.9,14.5,14.7,14.7,11.2,16.8,18.1
114,14.6,15.4,8.5,13.1,14.2,14.8,10.8,13.7,15.8,12.8
115,16.2,17,7,15.4,13.6,14.6,6.6,11.5,18.3,11.9
116,15.6,15.8,10.7,15.1,13.8,13.6,6.1,8.2,14.3,9.3
117,14.9,11.9,16.3,7.9,10.3,14.3,8,4.9,15.6,9.9
118,15.8,10.9,14.2,6.8,9.2,8.7,5.9,5.6,17.3,6.8
119,18.9,12,18,9.7,10.5,9.3,6.9,6.9,15.2,8.7
120,17.7,12.6,18.5,12.1,10.5,12.7,9.2,10.3,12.4,11
121,13.7,13.2,12.5,14.1,10.8,13.3,7.5,6.9,10.5,11.9
122,11,14.7,12.4,13.9,10.9,14.7,6.8,6.8,11.6,10.8
123,10.4,11.3,12.4,11.3,10.5,15.8,10.8,10,12.4,11.3
124,10.7,11.3,13.3,12.1,9.6,16.3,9.8,8.9,15.4,7.9
125,8.9,12,15.2,13.5,12.2,15.8,10.9,11.2,17.5,5.8
126,8.4,16.1,13.3,13.3,14.3,14.8,11.1,10.7,18.5,7.2
127,9.9,17.3,12.9,13.5,13.2,13.1,14.1,11,17.9,10
128,12.1,18.5,13.3,15.4,14.6,13.1,15.6,11.1,17.6,10.3
129,11.1,18.9,11.9,15.9,16.2,15.6,16.8,10.8,15.4,10.7
130,14,18.7,16.7,12.6,16.2,15,16,12.1,13.2,14.2
131,11.8,18.2,18.9,11.7,13,16.6,17.9,12.9,14.1,12.5
132,11.6,16.3,22,10.3,10.5,20.5,14.7,12.5,17.3,11
133,10.5,16.4,16,11.8,9.1,22.8,12.9,14.2,10.2,11.5
134,10.7,14.6,11.8,16.1,9.1,18.1,11.8,15.3,11.1,11.8
135,9.7,10.6,11.5,12.9,9.9,8.7,13,16,11.5,10.3
136,9.9,11.7,10.9,10.7,12.2,14,10.3,17,11.7,10.6
137,10.8,13.3,7.7,10,14,15.3,9.8,19.9,14.1,10.8
138,11.5,16.9,10,10.8,15.3,17.3,12.2,18.8,14.9,12.5
139,11.6,18.2,14.4,9.7,16.7,14.6,13.5,11.1,15.1,13.4
140,12.4,17,14.5,11.7,16.5,10.5,10.2,11,14.5,13.2
141,14.3,17.8,16.7,10.8,18.3,10.6,12,13.5,17,14.3
142,15.8,19.6,13.6,10.9,15.7,13.7,16.3,17,17.1,14.7
143,17.1,19.1,12.8,9.2,15.2,14.9,16,18.8,15.3,15.4
144,19.1,20.3,16.7,7.9,15,15.5,9.6,19.8,18,16.6
145,21.4,18.8,19,7,14.9,15.6,11.5,19.8,19.2,15.6
146,18.2,20.7,18.8,8.4,14.5,14,12,19,19.4,16.2
147,15,15.3,17.7,11.1,12.6,13.7,15.1,21.5,18.8,17.3
148,16.2,14.5,18.5,11.9,13.6,15.4,19.9,22.3,18.4,12.4
149,17.1,17.2,17.9,8.9,14.7,18.5,18.6,22.7,18.4,12.7
150,15.3,20.7,18.5,10.5,15.8,18.3,15.4,23.1,17.4,14.4
151,13.9,14.6,19.5,9.1,14.6,18.4,14.4,20.7,16.6,16.9
152,13.1,11,19.6,11.8,15.5,18.8,13.6,18.7,17.4,19.1
153,14.8,14.2,20,13.9,16.8,20.8,14.7,20.2,19.2,21.3
154,15.8,17.9,20.9,13.6,16.1,21.7,14.4,19.8,19.6,21.4
155,17.2,18.4,16.7,12.8,13.8,22.3,15.3,17.2,18.1,21.9
156,20.2,17.5,14.8,16.4,15.3,23.3,16.4,16.7,19.7,20.9
157,21.3,17.8,16.8,18.1,17.6,22.8,17,14,19,13.6
158,18.7,16.1,16,18,20.7,21.5,17.9,13.9,19.8,16.6
159,17.6,13.5,19.1,16.8,22.8,19.7,19.3,15.7,19,17.7
160,19.6,13.7,16.2,14.4,23.8,17,16.8,19.7,20.8,12.9
161,22.7,14.4,16.2,14.1,22.9,18,17.3,21.1,22.6,13.7
162,19.9,15.6,14.4,16.5,22.3,20.4,18,23,19.4,12.4
163,17.4,17.1,14.9,17.7,23.1,20.2,16.2,24.3,17.8,15.8
164,19,18.2,12.8,19.7,21.6,20.3,15.8,23.9,15.7,17.9
165,16.7,19.3,13,17.1,19.7,19,15.6,21.7,17,17.3
166,17.2,20.3,15,21.5,18.7,18.1,15.5,23.3,18.6,16.6
167,16.1,18.5,20.2,22.3,19.2,18.4,16.8,22.7,19.7,17
168,14.8,17.7,22.7,23.2,17.8,18.5,13.7,20.5,20.2,19.2
169,15.8,15.1,21.4,24.6,17.1,18,14.9,21.1,20.4,22.1
170,13.5,15,22.9,24.1,18,18.4,15.3,24,21,22.7
171,12,19.1,20.3,18.9,19.4,15.9,14.4,25.6,23.1,19.9
172,14.2,21.6,20.7,18.6,19.6,18.1,16.2,25.5,23.6,18.5
173,14.9,19.2,20.9,19.5,22.2,20.9,16.7,26.9,18.5,19
174,16.1,17.6,18.9,17.6,20.3,17.9,21,27.5,17.8,20.1
175,18,16.9,18.2,13.3,18.1,16.6,24.6,25.1,16.6,22.4
176,19,17.9,20.8,13.9,19.4,19.3,24.9,21.8,18.8,25.1
177,19.5,21.1,20.7,14.7,19.4,20.5,20.5,20.9,20.8,26.3
178,21.2,24.4,20.7,12.9,20.8,22.3,17.7,22.5,21.6,26.7
179,21.7,24.9,21.6,13.5,21.3,21.9,18.3,18.8,20.6,26.4
180,19.6,21.5,24.3,13.5,15.3,22.6,20,14.5,20.4,25
181,21.7,18.9,26.3,15.9,15.8,23.9,23.5,15.5,22.7,27.9
182,22.7,17.3,24.6,18.4,17.1,26.5,22,15.5,24.2,26.5
183,24.6,17.3,17.9,21.7,16.5,27.9,22.7,16.1,25.5,24.1
184,24.1,17.5,16.6,17.8,19.3,27.2,18.1,19.2,21.3,22.1
185,23.5,19.3,19.3,18.3,19.6,28.7,17.5,20.3,22.9,21.8
